CMS Certification Number (CCN),Facility Name,Provider Address,City/Town,State,ZIP Code,Telephone Number,Provider SSA County Code,County/Parish,Urban,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Chain Name,Chain ID,Number of Facilities in Chain,Chain Average Overall 5-star Rating,Chain Average Health Inspection Rating,Chain Average Staffing Rating,Chain Average QM Rating,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Total nursing staff turnover footnote,Registered Nurse turnover,Registered Nurse turnover footnote,Number of administrators who have left the nursing home,Administrator turnover footnote,Nursing Case-Mix Index,Nursing Case-Mix Index Ratio,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Adjusted Weekend Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2/3 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2/3 Number of Complaint Health Deficiencies,Rating Cycle 2/3 Health Deficiency Score,Rating Cycle 2/3 Number of Health Revisits,Rating Cycle 2/3 Health Revisit Score,Rating Cycle 2/3 Total Health Score,Total Weighted Health Survey Score,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Latitude,Longitude,Geocoding Footnote,Processing Date,EVS_Citation_Count,Dietary_Citation_Count,hk_direct,hk_contract,diet_direct,diet_contract,Overall_Rating,Health_Inspection_Rating,HOT_HOT_EVS,HOT_HOT_Dietary,Priority_Sort,Region
155787,INDIANA VETERANS HOME,3851 N RIVER RD,WEST LAFAYETTE,IN,47906,7654631502,780,Tippecanoe,Y,Government - State,212,103.6,,Medicare and Medicaid,N,STATE OF INDIANA AUDITOR OF STATE,2011-03-04,,,,,,,,N,,N,N,N,Resident,Yes,4,,4,,3,,3,,,2,4,,,,3.86938,0.54457,1.20001,1.74459,5.61397,4.79422,0.98281,0.01278,64.2,,54.1,,0,,1.22145,0.86514,2.00489,0.74287,0.59290,3.34065,2.96154,4.44063,0.62497,1.37717,6.44277,5.50200,2025-12-08,2,2,1,8,1,0,8,2024-12-09,10,4,7,72,1,0,72,24.000,,0,0.00,0,0,"3851 N RIVER RD,WEST LAFAYETTE,IN,47906",40.4734,-86.884,,2026-08-01,0,0,,54964.0,,1804683.0,,,No,No,2,Midwest
16A002,Iowa Veterans Home,1301 Summit,Marshalltown,IA,50158,6417521501,630,Marshall,N,Government - State,702,342.0,,Medicaid,N,Legal Business Name Not Available,1981-10-01,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,5,,5,,,2,5,,,,3.34027,0.53608,0.86343,1.39951,4.73979,4.06952,0.43338,0.01485,24.7,,22.1,,1,,1.07738,0.76310,1.76841,0.65524,0.52297,2.94662,2.61223,4.34602,0.69750,1.12341,6.16692,5.29484,2026-04-16,1,0,1,4,0,0,4,2025-03-27,0,0,0,0,0,0,0,3.000,,0,0.00,0,0,"1301 Summit,Marshalltown,IA,50158",42.0527,-92.935,,2026-08-01,0,0,,,,,,,No,No,4,Midwest
175513,KANSAS SOLDIERS HOME,"200 CUSTER, UNIT 98",FORT DODGE,KS,67801,6202272121,280,Ford,N,Government - State,56,46.7,,Medicare and Medicaid,N,STATE OF KANSAS-ACCOUNTING SERVICES,2009-09-17,,,,,,,,N,,N,N,N,Resident,Yes,3,,2,,3,,3,,,2,5,,,,4.95684,0.26873,1.35024,1.61897,6.57580,4.98785,0.93184,0.00000,27.6,,9.1,,0,,1.19395,0.84566,1.95975,0.72614,0.57955,3.26543,2.89486,5.81966,0.31550,1.58527,7.72043,5.85607,2025-08-07,12,12,1,132,1,0,132,2023-09-06,9,9,0,44,1,0,44,110.000,,0,0.00,0,0,"200 CUSTER, UNIT 98,FORT DODGE,KS,67801",37.7578,-100.02,22,2026-08-01,0,0,,,,,,,No,No,4,Midwest
175516,KANSAS VETERANS HOME,1220 WORLD WAR II MEMORIAL DRIVE,WINFIELD,KS,67156,6202219479,170,Cowley,N,Government - State,97,85.5,,Medicare and Medicaid,N,STATE OF KANSAS-ACCOUNTING SERVICES,2010-09-01,,,,,,,,N,,N,N,N,Both,Yes,5,,5,,2,,2,,,2,5,,,,4.00179,0.94071,1.13964,2.08034,6.08213,5.21353,0.65921,0.00427,35.9,,30.0,,1,,1.21743,0.86229,1.99829,0.74042,0.59095,3.32965,2.95179,4.60775,1.08315,1.31220,7.00310,6.00297,2026-03-04,1,1,0,4,1,0,4,2024-04-23,3,3,0,16,1,0,16,7.000,0,0,0.00,0,0,"1220 WORLD WAR II MEMORIAL DRIVE,WINFIELD,KS,67156",37.2611,-96.97,,2026-08-01,0,0,640773.0,67948.0,1348531.0,79773.0,,,No,No,2,Midwest
185471,Paul E Patton Eastern KY Veterans Center,200 Veterans Drive,Hazard,KY,41701,6064356196,960,Perry,N,Government - State,120,94.0,,Medicare and Medicaid,N,COMMONWEALTH OF KENTUCKY,2013-11-26,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,4,,4,,,2,5,,,,3.55815,0.55010,1.38231,1.93241,5.49057,4.64832,0.74910,0.01525,13.0,,7.4,,0,,1.14505,0.81103,1.87948,0.69640,0.55581,3.13169,2.77629,4.35592,0.67344,1.69224,6.72160,5.69051,2024-12-06,0,0,0,0,0,0,0,2019-08-15,0,0,0,0,0,0,0,0.000,,0,0.00,0,0,"200 Veterans Drive,Hazard,KY,41701",37.2536,-83.185,22,2026-08-01,0,0,603981.0,51804.0,753258.0,532409.0,,,No,No,2,Southeast
185472,Joseph Eddie Ballard Western Kentucky Veterans Cen,926 Veterans Drive,Hanson,KY,42413,2703229087,530,Hopkins,N,Government - State,156,81.4,,Medicare and Medicaid,N,COMMONWEALTH OF KENTUCKY,2013-12-19,,,,,,,,N,,N,N,N,Both,Yes,5,,5,,4,,4,,,2,5,,,,3.61743,0.33911,1.44743,1.78654,5.40396,4.66651,0.88309,0.00501,34.3,,25.0,,0,,1.14982,0.81441,1.88731,0.69930,0.55813,3.14474,2.78787,4.41010,0.41342,1.76460,6.58811,5.68906,2026-02-12,0,0,0,0,0,0,0,2024-10-16,0,0,0,0,0,0,0,0.000,,0,0.00,0,0,"926 Veterans Drive,Hanson,KY,42413",37.4152,-87.465,,2026-08-01,0,0,562613.0,51704.0,745204.0,358353.0,,,No,No,2,Southeast
185473,Thomson-Hood Veterans Center,100 Veterans Drive,Wilmore,KY,40390,8598582814,560,Jessamine,Y,Government - State,285,142.2,,Medicare and Medicaid,N,COMMONWEALTH OF KENTUCKY,2014-02-28,,,,,,,,N,,N,N,N,Resident,Yes,5,,4,,4,,4,,,2,5,,,,3.31044,0.94278,0.83251,1.77530,5.08574,4.45053,0.48728,0.03721,29.4,,24.0,,1,,1.18101,0.83650,1.93851,0.71827,0.57327,3.23005,2.86349,3.92926,1.11902,0.98813,6.03641,5.28247,2026-05-07,1,1,0,4,1,0,4,2025-03-27,3,3,1,28,1,0,28,10.000,,0,0.00,0,0,"100 Veterans Drive,Wilmore,KY,40390",37.8753,-84.647,,2026-08-01,0,0,1237730.0,194038.0,1261251.0,711995.0,,,No,No,2,Southeast
185483,Radcliff Veterans Center,100 Veterans Drive,Radcliff,KY,40160,2703526700,460,Hardin,Y,Government - State,120,56.5,,Medicare and Medicaid,N,COMMONWEALTH OF KENTUCKY,2017-05-25,,,,,,,,N,,N,N,N,Both,Yes,3,,2,,3,,3,,,2,5,,,,2.64803,1.16323,1.79021,2.95343,5.60147,4.79584,1.13037,0.02895,34.2,,16.7,,0,,1.18867,0.84192,1.95108,0.72293,0.57699,3.25099,2.88206,3.12278,1.37177,2.11116,6.60570,5.65565,2025-03-06,1,0,1,4,0,0,4,2019-10-18,6,3,3,145,1,0,145,39.250,,1,9331.00,0,1,"100 Veterans Drive,Radcliff,KY,40160",37.8701,-85.967,,2026-08-01,0,0,451530.0,59346.0,634435.0,259900.0,,,No,No,2,Southeast
195608,Southwest Louisiana War Veterans Home,1610 Evangeline Highway,Jennings,LA,70546,3378242829,260,Jeffrson Davis,Y,Government - State,8,6.4,,Medicare,N,SOUTHWEST LOUISIANA VETERANS HOME,2004-11-16,,,,,,,,N,,N,N,N,Resident,Yes,4,,5,,3,,3,,,2,1,25,25,6,,,,,,,,,,26,,26,,26,,,,,,,,,,,,,2026-06-16,0,0,0,0,0,0,0,2025-06-17,2,2,0,20,1,0,20,5.000,,0,0.00,0,0,"1610 Evangeline Highway,Jennings,LA,70546",30.2376,-92.639,,2026-08-01,0,0,334576.0,71887.0,601191.0,665365.0,,,No,No,2,Southeast
195623,NORTHWEST LOUISIANA VETERANS HOME,3130 ARTHUR RAY TEAGUE PARKWAY,BOSSIER CITY,LA,71112,3187412763,070,Bossier,Y,Government - State,8,3.0,,Medicare,N,NW LA WAR VETERANS HOME,2007-05-08,,,,,,,,N,,N,N,N,,Yes,4,,5,,1,,,2,1,,,2,6,6,,,,,,,,,,26,,26,,26,,,,,,,,,,,,,2026-04-09,0,0,0,0,0,0,0,2025-06-18,6,4,2,40,1,0,40,10.000,,0,0.00,0,0,"3130 ARTHUR RAY TEAGUE PARKWAY,BOSSIER CITY,LA,71112",32.4905,-93.692,,2026-08-01,0,0,326781.0,5516.0,437284.0,446491.0,,,No,No,2,Southeast
195625,SOUTHEAST LOUISIANA WAR VETERANS HOME,4080 W AIRLINE HWY,RESERVE,LA,70084,9854794080,470,St. John Baptist,Y,Government - State,8,1.0,,Medicare,N,SOUTHEAST LOUISIANA VETERANS HOME,2007-08-07,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,,2,,2,,2,,2,6,6,,,,,,,,,,26,,26,,26,,,,,,,,,,,,,2025-09-12,1,1,0,4,1,0,4,2024-05-22,1,1,0,16,1,0,16,7.000,,0,0.00,0,0,"4080 W AIRLINE HWY,RESERVE,LA,70084",30.0769,-90.574,,2026-08-01,0,0,404109.0,372597.0,540194.0,102970.0,,,No,No,2,Southeast
195628,NORTHEAST LA WAR VETERANS HOME,6700 HIGHWAY 165 NORTH,MONROE,LA,71211,3183624206,360,Ouachita,Y,Government - State,8,1.7,,Medicare,N,NORTHEAST LOUISANA VETERANS HOME,2008-12-04,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,,2,,2,,2,,2,6,6,,,,,,,,,,26,,26,,26,,,,,,,,,,,,,2026-03-18,2,2,0,12,1,0,12,2025-03-06,3,3,0,20,1,0,20,14.000,,0,0.00,0,0,"6700 HIGHWAY 165 NORTH,MONROE,LA,71211",32.277,-92.092,,2026-08-01,0,0,307716.0,54635.0,477032.0,596517.0,,,No,No,2,Southeast
195629,LOUISIANA WAR VETERANS HOME,4739 HIGHWAY 10,JACKSON,LA,70748,2253428998,180,East Feliciana,Y,Government - State,10,,10,Medicare,N,LOUISIANA WAR VETERANS HOME,2009-02-20,,,,,,,,N,,N,N,N,Resident,Yes,4,,5,,,2,,2,,2,1,23,23,23,,,,,,,,,,26,,26,,26,,,,,,,,,,,,,2025-12-10,0,0,0,0,0,0,0,2024-09-09,0,0,0,0,0,0,0,0.000,,0,0.00,0,0,"4739 HIGHWAY 10,JACKSON,LA,70748",30.8356,-91.137,,2026-08-01,0,0,368183.0,66170.0,476996.0,420736.0,,,No,No,2,Southeast
205126,Maine Veterans Home - Augusta,35 HEROES WAY,AUGUSTA,ME,04330,2076222454,050,Kennebec,N,Non profit - Corporation,108,104.0,,Medicare and Medicaid,N,MAINE VETERANS' HOME,1993-01-01,MAINE VETERANS' HOME,330,5,4.4,4.0,4.8,2.4,N,,N,N,N,Both,Yes,5,,4,,4,,4,,4,,5,,,,4.57151,0.29071,1.76215,2.05286,6.62437,5.94819,1.25177,0.09855,32.5,,20.5,,,26,1.24521,0.88197,2.04388,0.75731,0.60443,3.40562,3.01914,5.14632,0.32726,1.98372,7.45730,6.69610,2025-11-18,6,6,0,36,1,0,36,2024-10-23,4,4,0,24,1,0,24,33.000,,0,0.00,0,0,"35 HEROES WAY,AUGUSTA,ME,04330",44.3536,-69.731,22,2026-08-01,0,0,673318.0,59476.0,1265046.0,886183.0,4.4,4.0,No,No,2,Northeast
205127,MAINE VETERANS HOME - SCARBOROUGH,290 US RT 1,SCARBOROUGH,ME,04074,2078837184,020,Cumberland,Y,Non profit - Corporation,120,111.9,,Medicare and Medicaid,N,MAINE VETERANS' HOME,1993-01-01,MAINE VETERANS' HOME,330,5,4.4,4.0,4.8,2.4,N,,N,N,N,Both,Yes,5,,5,,2,,3,,2,,5,,,,2.92944,0.42309,1.49030,1.91339,4.84283,4.19828,0.91879,0.11864,36.4,,36.0,,0,,1.15929,0.82112,1.90286,0.70506,0.56273,3.17065,2.81083,3.54218,0.51159,1.80202,5.85579,5.07642,2024-11-20,3,3,0,12,1,0,12,2023-08-31,6,5,1,24,1,0,24,15.000,,0,0.00,0,0,"290 US RT 1,SCARBOROUGH,ME,04074",43.585,-70.371,22,2026-08-01,0,0,442552.0,56347.0,1140586.0,615511.0,4.4,4.0,No,No,2,Northeast
205151,Maine Veterans Home - Caribou,163 VAN BUREN RD SUITE 2,CARIBOU,ME,04736,2074986074,010,Aroostook,N,Non profit - Other,40,36.3,,Medicare and Medicaid,N,MAINE VETERANS' HOME,1994-07-01,MAINE VETERANS' HOME,330,5,4.4,4.0,4.8,2.4,N,,N,N,N,Resident,Yes,4,,4,,1,,1,,,2,5,,,,3.53199,0.04575,1.55285,1.59860,5.13060,4.60669,1.02987,0.04103,28.6,,9.1,,0,,1.25940,0.89202,2.06717,0.76594,0.61132,3.44442,3.05354,3.93131,0.05093,1.72841,5.71064,5.12751,2026-02-05,5,5,3,36,1,0,36,2025-01-08,9,5,5,32,1,0,32,35.000,,1,42320.00,1,2,"163 VAN BUREN RD SUITE 2,CARIBOU,ME,04736",46.8478,-68.01,22,2026-08-01,0,0,226195.0,32313.0,,415429.0,4.4,4.0,No,No,2,Northeast
205184,Maine Veterans Home - So Paris,477 HIGH ST,SOUTH PARIS,ME,04281,2077436300,080,Oxford,N,Non profit - Corporation,62,55.9,,Medicare and Medicaid,N,MAINE VETERANS' HOME,1995-07-26,MAINE VETERANS' HOME,330,5,4.4,4.0,4.8,2.4,N,,N,N,N,Resident,Yes,5,,5,,3,,4,,3,,4,,,,3.01275,0.37054,1.83557,2.20610,5.21886,4.47666,1.26272,0.04080,,26,,26,,26,1.16133,0.82256,1.90620,0.70630,0.56371,3.17622,2.81577,3.63653,0.44725,2.21561,6.29940,5.40353,2025-12-19,4,4,0,24,1,0,24,2024-10-09,6,6,0,32,1,0,32,26.000,,0,0.00,0,0,"477 HIGH ST,SOUTH PARIS,ME,04281",44.2523,-70.528,,2026-08-01,0,0,442594.0,61929.0,758405.0,460735.0,4.4,4.0,No,No,2,Northeast
205185,Maine Veterans Home - Bangor,44 HOGAN RD,BANGOR,ME,04401,2079422333,090,Penobscot,Y,Non profit - Other,120,108.8,,Medicare and Medicaid,N,MAINE VETERANS' HOME,1995-10-02,MAINE VETERANS' HOME,330,5,4.4,4.0,4.8,2.4,N,,N,N,N,Resident,Yes,3,,2,,2,,4,,1,,5,,,,3.43760,0.02515,1.66663,1.69178,5.12938,4.40074,1.17379,0.12530,45.9,,39.5,,1,,1.15854,0.82058,1.90163,0.70461,0.56236,3.16860,2.80901,4.15932,0.03043,2.01653,6.20629,5.32467,2025-08-14,9,7,2,40,1,0,40,2024-08-22,22,13,11,257,1,0,257,94.250,,2,74698.00,1,3,"44 HOGAN RD,BANGOR,ME,04401",44.8158,-68.738,,2026-08-01,0,0,554177.0,66559.0,1025764.0,772735.0,4.4,4.0,No,No,2,Northeast
215161,Charlotte Hall Veterans Home,29449 CHARLOTTE HALL ROAD,CHARLOTTE HALL,MD,20622,3018848171,180,St. Marys,Y,For profit - Limited Liability company,286,210.0,,Medicare and Medicaid,N,COMPTROLLER OF MARYLAND CENTRAL PAYROLL BUREAU,1986-03-17,,,,,,,,N,,N,N,N,Resident,Yes,5,,4,,2,,4,,1,,5,,,,2.73850,0.97271,0.69660,1.66931,4.40781,3.77493,0.34239,0.00000,19.6,,32.4,,1,,1.23849,0.87721,2.03285,0.75323,0.60117,3.38725,3.00285,3.09956,1.10095,0.78845,4.98896,4.27263,2025-07-25,8,8,0,40,1,0,40,2022-08-15,16,13,3,154,1,0,154,68.500,,1,66671.00,0,1,"29449 CHARLOTTE HALL ROAD,CHARLOTTE HALL,MD,20622",38.4776,-76.778,,2026-08-01,0,0,457286.0,284309.0,527928.0,1933664.0,,,No,No,2,Northeast
225110,THE MASSACHUSETTS VETERANS HOME AT CHELSEA,100 SUMMIT STREET,CHELSEA,MA,02150,6178877115,160,Suffolk,Y,Government - State,154,120.1,,Medicare,N,THE COMMONWEALTH OF MASSACHUSETTS,1967-02-09,,,,,,,,N,,N,N,N,Resident,Yes,4,,4,,3,,3,,,2,4,,,,4.35173,0.99655,1.62596,2.62251,6.97424,6.32538,1.27745,0.07167,,26,,26,3,,1.00197,0.70968,1.64463,0.60938,0.48636,2.74037,2.42938,6.08817,1.39420,2.27475,9.75713,8.84935,2025-09-19,3,3,0,12,1,0,12,2024-10-09,12,7,5,48,1,0,48,21.000,,0,0.00,0,0,"100 SUMMIT STREET,CHELSEA,MA,02150",42.4019,-71.031,,2026-08-01,0,0,,,,,,,No,No,4,Northeast
225786,MASSACHUSETTS VETERANS HOME AT HOLYOKE,110 CHERRY STREET,HOLYOKE,MA,01040,4135524737,070,Hampden,Y,Government - State,128,113.1,,Medicare and Medicaid,N,THE COMMONWEALTH OF MASSACHUSETTS,2025-04-14,,,,,,,,N,,N,N,N,Both,Yes,,1,,1,,1,,1,,1,,1,,,4.80041,0.85871,2.54666,3.40537,8.20578,7.31612,1.81787,0.08566,,27,,27,,27,1.14226,0.80905,1.87490,0.69470,0.55446,3.12406,2.76953,,,,,,2025-02-28,,,,,,,,,,,,,,,,,,0,0.00,0,0,"110 CHERRY STREET,HOLYOKE,MA,01040",42.2003,-72.639,,2026-08-01,0,0,,,,,,,No,No,4,Northeast
235724,DJ Jacobetti Home for Veterans,425 Fisher Street,Marquette,MI,49855,9062263576,510,Marquette,N,Government - State,81,59.1,,Medicare and Medicaid,N,STATE OF MICHIGAN OFFICE OF FINANCIAL MANAGEMENT,2018-09-30,,,,,,,,N,,Y,N,N,Resident,Yes,4,,2,,5,,5,,,2,5,,,,3.00532,1.00824,1.40098,2.40922,5.41454,4.45823,0.88485,0.00915,21.2,,19.4,,0,,1.02544,0.72631,1.68315,0.62365,0.49775,2.80456,2.48629,4.10829,1.37827,1.91514,7.40170,6.09442,2025-12-11,4,4,1,48,1,0,48,2024-10-16,1,1,0,16,1,0,16,40.000,,0,0.00,1,1,"425 Fisher Street,Marquette,MI,49855",46.5401,-87.402,,2026-08-01,0,0,,897114.0,112750.0,1841582.0,,,No,No,2,Midwest
235728,Michigan Veterans Home of Chesterfield Township,47901 Sugarbush Road,Chesterfield Township,MI,48047,5867196791,490,Macomb,Y,Government - State,128,120.2,,Medicare and Medicaid,N,STATE OF MICHIGAN OFFICE OF FINANCIAL MANAGEMENT,2021-08-19,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,4,,4,,,2,5,,,,5.11488,1.56266,1.01107,2.57373,7.68861,6.94112,0.51441,0.04291,56.3,,30.8,,0,,1.13771,0.80583,1.86743,0.69193,0.55225,3.11161,2.75850,6.30207,1.92536,1.24574,9.47318,8.55219,2026-07-09,1,0,1,4,0,0,4,2025-05-21,0,0,0,0,0,0,0,3.000,,0,0.00,0,0,"47901 Sugarbush Road,Chesterfield Township,MI,48047",42.6518,-82.817,,2026-08-01,0,0,1254555.0,1252959.0,88359.0,2193889.0,,,No,No,2,Midwest
235729,Michigan Veteran Homes at Grand Rapids,2950 Monroe NE,Grand Rapids,MI,49505,6163456107,400,Kent,Y,Government - State,128,122.7,,Medicare and Medicaid,N,STATE OF MICHIGAN OFFICE OF FINANCIAL MANAGEMENT,2021-11-26,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,4,,4,,,2,5,,,,4.60314,1.57035,1.04036,2.61070,7.21384,6.32724,0.59005,0.03624,44.9,,24.1,,0,,1.09647,0.77662,1.79973,0.66685,0.53223,2.99881,2.65850,5.88489,2.00761,1.33004,9.22255,8.08907,2025-04-30,2,2,0,8,1,0,8,2024-04-04,2,1,1,8,0,0,8,8.000,,0,0.00,0,0,"2950 Monroe NE,Grand Rapids,MI,49505",43.0159,-85.663,,2026-08-01,0,0,1374650.0,1395865.0,2032083.0,702363.0,,,No,No,2,Midwest
245620,MN VETERANS HOME-MPLS,5101 MINNEHAHA AVENUE SOUTH,MINNEAPOLIS,MN,55417,6515392400,260,Hennepin,Y,Government - State,341,293.5,,Medicare and Medicaid,N,STATE OF MINNESOTA - MINNESOTA MANAGEMENT AND BUDGET,2014-01-06,,,,,,,,N,,N,N,N,Both,Yes,3,,3,,4,,4,,,2,4,,,,3.99765,0.74743,1.46821,2.21564,6.21329,5.54836,0.97654,0.05747,,26,,26,,26,1.14785,0.81301,1.88408,0.69810,0.55717,3.13936,2.78309,4.88200,0.91277,1.79301,7.58778,6.77574,2026-07-09,6,5,1,52,0,0,52,2025-04-10,9,7,2,48,1,0,48,51.000,,0,0.00,0,0,"5101 MINNEHAHA AVENUE SOUTH,MINNEAPOLIS,MN,55417",44.9138,-93.206,,2026-08-01,0,0,,,,,,,No,No,4,Midwest
245628,MINNESOTA VETERANS HOME SILVER BAY,56 OUTER DRIVE,SILVER BAY,MN,55614,2183538700,370,Lake,N,Government - Federal,54,51.3,,Medicare and Medicaid,N,STATE OF MINNESOTA - MINNESOTA MANAGEMENT AND BUDGET,2015-10-20,,,,,,,,N,,N,N,N,Resident,Yes,4,,4,,4,,4,,,2,4,,,,2.68650,0.64857,1.63259,2.28116,4.96765,4.14294,1.02780,0.09661,,26,,26,1,,1.11885,0.79247,1.83647,0.68046,0.54309,3.06003,2.71277,3.36584,0.81258,2.04542,6.22385,5.19058,2026-04-16,5,5,1,20,1,0,20,2025-03-20,1,0,1,20,0,0,20,20.000,,0,0.00,0,0,"56 OUTER DRIVE,SILVER BAY,MN,55614",47.2947,-91.258,,2026-08-01,0,0,,,,,,,No,No,4,Midwest
245631,MN VETERANS HOME-LUVERNE,1300 NORTH KNISS AVENUE,LUVERNE,MN,56156,5072836200,660,Rock,Y,Government - State,85,60.1,,Medicare and Medicaid,N,STATE OF MINNESOTA - MINNESOTA MANAGEMENT AND BUDGET,2016-08-31,,,,,,,,N,,N,N,N,Both,Yes,5,,4,,3,,3,,,2,5,,,,3.09757,0.56993,1.57340,2.14333,5.24089,4.72297,1.19322,0.08172,20.9,,25.0,,0,,1.18592,0.83998,1.94657,0.72126,0.57565,3.24348,2.87540,3.66137,0.67366,1.85977,6.19480,5.58261,2026-03-10,2,0,2,24,0,0,24,2024-12-04,5,1,4,32,1,0,32,26.000,,0,0.00,0,0,"1300 NORTH KNISS AVENUE,LUVERNE,MN,56156",43.6682,-96.213,,2026-08-01,0,0,,,,,,,No,No,4,Midwest
245636,MN VETERANS HOME-FERGUS FALLS,1821 NORTH PARK,FERGUS FALLS,MN,56537,2187360400,550,Otter Tail,N,Government - State,85,75.7,,Medicare and Medicaid,N,STATE OF MINNESOTA - MINNESOTA MANAGEMENT AND BUDGET,2018-07-06,,,,,,,,N,,Y,N,N,Both,Yes,4,,2,,5,,5,,,2,5,,,,2.78417,0.53281,1.84891,2.38172,5.16588,4.65107,1.34321,0.05006,27.2,,12.1,,,26,1.00869,0.71445,1.65566,0.61347,0.48962,2.75875,2.44568,3.86916,0.74045,2.56943,7.17903,6.46359,2026-05-06,3,0,3,48,0,0,48,2025-02-05,2,2,0,8,1,0,8,38.000,,1,23520.00,1,2,"1821 NORTH PARK,FERGUS FALLS,MN,56537",46.3017,-96.076,,2026-08-01,0,0,,,,,,,No,No,4,Midwest
275100,MONTANA VETERANS HOME N H,400 VETERANS DR,COLUMBIA FALLS,MT,59912,4068923256,140,Flathead,N,Government - State,105,75.0,,Medicare and Medicaid,N,STATE OF MONTANA,1982-01-07,,,,,,,,N,,Y,Y,N,Resident,Yes,3,,2,,3,,3,,,2,5,,,,3.97073,0.46035,1.24909,1.70944,5.68017,5.23440,0.99716,0.06575,42.9,,40.6,,1,,1.00720,0.71339,1.65321,0.61256,0.48890,2.75467,2.44206,5.52630,0.64069,1.73844,7.90543,7.28502,2024-07-18,4,1,3,141,1,0,141,2023-06-22,5,5,0,36,1,0,36,114.750,,1,93899.00,1,2,"400 VETERANS DR,COLUMBIA FALLS,MT,59912",48.3653,-114.19,22,2026-08-01,0,0,,,,,,,No,No,4,Mountain West
275144,EASTERN MONTANA VETERANS HOME,2000 MONTANA AVE,GLENDIVE,MT,59330,4063778115,100,Dawson,N,Government - State,80,50.0,,Medicare and Medicaid,N,"GLENDIVE NURSING AND REHAB CENTER, LLC",1995-08-01,EDURO HEALTHCARE,193,34,2.4,2.4,2.2,3.1,N,,N,N,N,Resident,Yes,3,,3,,2,,2,,,2,4,,,,2.81902,0.57856,0.89578,1.47434,4.29336,3.67387,0.56496,0.07590,79.7,,80.0,,2,,0.98600,0.69838,1.61842,0.59967,0.47861,2.69670,2.39067,4.00774,0.82252,1.27351,6.10377,5.22305,2025-02-13,11,9,2,92,1,0,92,2024-01-31,10,0,10,96,0,0,96,93.000,,3,51041.00,0,3,"2000 MONTANA AVE,GLENDIVE,MT,59330",47.1272,-104.69,,2026-08-01,0,0,166407.0,26507.0,451086.0,285533.0,2.4,2.4,No,No,2,Mountain West
