CMS Certification Number (CCN),Facility Name,Provider Address,City/Town,State,ZIP Code,Telephone Number,Provider SSA County Code,County/Parish,Urban,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Chain Name,Chain ID,Number of Facilities in Chain,Chain Average Overall 5-star Rating,Chain Average Health Inspection Rating,Chain Average Staffing Rating,Chain Average QM Rating,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Total nursing staff turnover footnote,Registered Nurse turnover,Registered Nurse turnover footnote,Number of administrators who have left the nursing home,Administrator turnover footnote,Nursing Case-Mix Index,Nursing Case-Mix Index Ratio,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Adjusted Weekend Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2/3 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2/3 Number of Complaint Health Deficiencies,Rating Cycle 2/3 Health Deficiency Score,Rating Cycle 2/3 Number of Health Revisits,Rating Cycle 2/3 Health Revisit Score,Rating Cycle 2/3 Total Health Score,Total Weighted Health Survey Score,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Latitude,Longitude,Geocoding Footnote,Processing Date,EVS_Citation_Count,Dietary_Citation_Count,Overall_Rating,Health_Inspection_Rating,HOT_HOT_EVS,HOT_HOT_Dietary,Priority_Sort,Region
16A002,Iowa Veterans Home,1301 Summit,Marshalltown,IA,50158,6417521501,630,Marshall,N,Government - State,702,342.0,,Medicaid,N,Legal Business Name Not Available,1981-10-01,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,5,,5,,,2,5,,,,3.34027,0.53608,0.86343,1.39951,4.73979,4.06952,0.43338,0.01485,24.7,,22.1,,1,,1.07738,0.76310,1.76842,0.65525,0.52295,2.94662,2.61223,4.34605,0.69750,1.12342,6.16696,5.29488,2026-04-16,1,0,1,4,0,0,4,2025-03-27,0,0,0,0,0,0,0,3.000,,0,0.00,0,0,"1301 Summit,Marshalltown,IA,50158",42.0527,-92.935,,2026-07-01,0,0,,,No,No,3,Midwest
175513,KANSAS SOLDIERS HOME,"200 CUSTER, UNIT 98",FORT DODGE,KS,67801,6202272121,280,Ford,N,Government - State,56,46.7,,Medicare and Medicaid,N,STATE OF KANSAS-ACCOUNTING SERVICES,2009-09-17,,,,,,,,N,,N,N,N,Resident,Yes,3,,2,,3,,3,,,2,5,,,,4.95684,0.26873,1.35024,1.61897,6.57580,4.98785,0.93184,0.00000,27.6,,9.1,,0,,1.19395,0.84566,1.95976,0.72614,0.57953,3.26543,2.89486,5.81970,0.31551,1.58528,7.72048,5.85611,2025-08-07,12,12,1,132,1,0,132,2023-09-06,9,9,0,44,1,0,44,110.000,,0,0.00,0,0,"200 CUSTER, UNIT 98,FORT DODGE,KS,67801",37.7578,-100.02,22,2026-07-01,0,0,,,No,No,3,Midwest
175516,KANSAS VETERANS HOME,1220 WORLD WAR II MEMORIAL DRIVE,WINFIELD,KS,67156,6202219479,170,Cowley,N,Government - State,97,85.5,,Medicare and Medicaid,N,STATE OF KANSAS-ACCOUNTING SERVICES,2010-09-01,,,,,,,,N,,N,N,N,Both,Yes,5,,5,,2,,2,,,2,5,,,,4.00179,0.94071,1.13964,2.08034,6.08213,5.21353,0.65921,0.00427,35.9,,30.0,,1,,1.21743,0.86229,1.99830,0.74042,0.59093,3.32965,2.95179,4.60778,1.08316,1.31221,7.00315,6.00301,2026-03-04,1,1,0,4,1,0,4,2024-04-23,3,3,0,16,1,0,16,7.000,0,0,0.00,0,0,"1220 WORLD WAR II MEMORIAL DRIVE,WINFIELD,KS,67156",37.2611,-96.97,,2026-07-01,0,0,,,No,No,3,Midwest
185471,Paul E Patton Eastern KY Veterans Center,200 Veterans Drive,Hazard,KY,41701,6064356196,960,Perry,N,Government - State,120,94.0,,Medicare and Medicaid,N,COMMONWEALTH OF KENTUCKY,2013-11-26,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,4,,4,,,2,5,,,,3.55815,0.55010,1.38231,1.93241,5.49057,4.64832,0.74910,0.01525,13.0,,7.4,,0,,1.14505,0.81102,1.87949,0.69640,0.55579,3.13168,2.77629,4.35595,0.67344,1.69225,6.72165,5.69055,2024-12-06,0,0,0,0,0,0,0,2019-08-15,0,0,0,0,0,0,0,0.000,,0,0.00,0,0,"200 Veterans Drive,Hazard,KY,41701",37.2536,-83.185,22,2026-07-01,0,0,,,No,No,3,Southeast
185472,Joseph Eddie Ballard Western Kentucky Veterans Cen,926 Veterans Drive,Hanson,KY,42413,2703229087,530,Hopkins,N,Government - State,156,81.4,,Medicare and Medicaid,N,COMMONWEALTH OF KENTUCKY,2013-12-19,,,,,,,,N,,N,N,N,Both,Yes,5,,5,,4,,4,,,2,5,,,,3.61743,0.33911,1.44743,1.78654,5.40396,4.66651,0.88309,0.00501,34.3,,25.0,,0,,1.14982,0.81441,1.88733,0.69930,0.55811,3.14474,2.78787,4.41013,0.41342,1.76461,6.58816,5.68910,2026-02-12,0,0,0,0,0,0,0,2024-10-16,0,0,0,0,0,0,0,0.000,,0,0.00,0,0,"926 Veterans Drive,Hanson,KY,42413",37.4152,-87.465,,2026-07-01,0,0,,,No,No,3,Southeast
185473,Thomson-Hood Veterans Center,100 Veterans Drive,Wilmore,KY,40390,8598582814,560,Jessamine,Y,Government - State,285,142.2,,Medicare and Medicaid,N,COMMONWEALTH OF KENTUCKY,2014-02-28,,,,,,,,N,,N,N,N,Resident,Yes,5,,4,,4,,4,,,2,5,,,,3.31044,0.94278,0.83251,1.77530,5.08574,4.45053,0.48728,0.03721,29.4,,24.0,,1,,1.18101,0.83650,1.93852,0.71827,0.57325,3.23004,2.86349,3.92929,1.11903,0.98814,6.03645,5.28250,2026-05-07,1,1,0,4,1,0,4,2025-03-27,3,3,1,28,1,0,28,10.000,,0,0.00,0,0,"100 Veterans Drive,Wilmore,KY,40390",37.8753,-84.647,,2026-07-01,0,0,,,No,No,3,Southeast
185483,Radcliff Veterans Center,100 Veterans Drive,Radcliff,KY,40160,2703526700,460,Hardin,Y,Government - State,120,56.5,,Medicare and Medicaid,N,COMMONWEALTH OF KENTUCKY,2017-05-25,,,,,,,,N,,N,N,N,Both,Yes,3,,2,,3,,3,,,2,5,,,,2.64803,1.16323,1.79021,2.95343,5.60147,4.79584,1.13037,0.02895,34.2,,16.7,,0,,1.18867,0.84192,1.95110,0.72293,0.57697,3.25099,2.88206,3.12280,1.37178,2.11117,6.60575,5.65569,2025-03-06,1,0,1,4,0,0,4,2019-10-18,6,3,3,145,1,0,145,39.250,,1,9331.00,0,1,"100 Veterans Drive,Radcliff,KY,40160",37.8701,-85.967,,2026-07-01,0,0,,,No,No,3,Southeast
195608,SOUTHWEST LOUISIANA WAR VETERANS HOME,1610 EVANGELINE HIGHWAY,JENNINGS,LA,70546,3378242829,260,Jeffrson Davis,Y,Government - State,8,6.4,,Medicare,N,SOUTHWEST LOUISIANA VETERANS HOME,2004-11-16,STATE OF LOUISIANA DEPARTMENT OF VETERANS AFFAIRS,488,5,4.4,5.0,1.0,2.0,N,,N,N,N,Resident,Yes,4,,5,,3,,3,,,2,1,25,25,6,,,,,,,,,,26,,26,,26,,,,,,,,,,,,,2026-06-16,0,0,0,0,0,0,0,2025-06-17,2,2,0,20,1,0,20,5.000,,0,0.00,0,0,"1610 EVANGELINE HIGHWAY,JENNINGS,LA,70546",30.2376,-92.639,,2026-07-01,0,0,4.4,5.0,No,No,3,Southeast
195623,NORTHWEST LOUISIANA VETERANS HOME,3130 ARTHUR RAY TEAGUE PARKWAY,BOSSIER CITY,LA,71112,3187412763,070,Bossier,Y,Government - State,8,3.0,,Medicare,N,NW LA WAR VETERANS HOME,2007-05-08,STATE OF LOUISIANA DEPARTMENT OF VETERANS AFFAIRS,488,5,4.4,5.0,1.0,2.0,N,,N,N,N,,Yes,4,,5,,1,,,2,1,,,2,6,6,,,,,,,,,,26,,26,,26,,,,,,,,,,,,,2026-04-09,0,0,0,0,0,0,0,2025-06-18,6,4,2,40,1,0,40,10.000,,0,0.00,0,0,"3130 ARTHUR RAY TEAGUE PARKWAY,BOSSIER CITY,LA,71112",32.4905,-93.692,,2026-07-01,0,0,4.4,5.0,No,No,3,Southeast
195625,SOUTHEAST LOUISIANA WAR VETERANS HOME,4080 W AIRLINE HWY,RESERVE,LA,70084,9854794080,470,St. John Baptist,Y,Government - State,8,1.0,,Medicare,N,SOUTHEAST LOUISIANA VETERANS HOME,2007-08-07,STATE OF LOUISIANA DEPARTMENT OF VETERANS AFFAIRS,488,5,4.4,5.0,1.0,2.0,N,,N,N,N,Resident,Yes,5,,5,,,2,,2,,2,,2,6,6,,,,,,,,,,26,,26,,26,,,,,,,,,,,,,2025-09-12,1,1,0,4,1,0,4,2024-05-22,1,1,0,16,1,0,16,7.000,,0,0.00,0,0,"4080 W AIRLINE HWY,RESERVE,LA,70084",30.0769,-90.574,,2026-07-01,0,0,4.4,5.0,No,No,3,Southeast
195628,NORTHEAST LA WAR VETERANS HOME,6700 HIGHWAY 165 NORTH,MONROE,LA,71211,3183624206,360,Ouachita,Y,Government - State,8,1.7,,Medicare,N,NORTHEAST LOUISANA VETERANS HOME,2008-12-04,STATE OF LOUISIANA DEPARTMENT OF VETERANS AFFAIRS,488,5,4.4,5.0,1.0,2.0,N,,N,N,N,Resident,Yes,5,,5,,,2,,2,,2,,2,6,6,,,,,,,,,,26,,26,,26,,,,,,,,,,,,,2026-03-18,2,2,0,12,1,0,12,2025-03-06,3,3,0,20,1,0,20,14.000,,0,0.00,0,0,"6700 HIGHWAY 165 NORTH,MONROE,LA,71211",32.277,-92.092,,2026-07-01,0,0,4.4,5.0,No,No,3,Southeast
195629,LOUISIANA WAR VETERANS HOME,4739 HIGHWAY 10,JACKSON,LA,70748,2253428998,180,East Feliciana,Y,Government - State,10,,10,Medicare,N,LOUISIANA WAR VETERANS HOME,2009-02-20,STATE OF LOUISIANA DEPARTMENT OF VETERANS AFFAIRS,488,5,4.4,5.0,1.0,2.0,N,,N,N,N,Resident,Yes,4,,5,,,2,,2,,2,1,23,23,23,,,,,,,,,,26,,26,,26,,,,,,,,,,,,,2025-12-10,0,0,0,0,0,0,0,2024-09-09,0,0,0,0,0,0,0,0.000,,0,0.00,0,0,"4739 HIGHWAY 10,JACKSON,LA,70748",30.8356,-91.137,,2026-07-01,0,0,4.4,5.0,No,No,3,Southeast
205126,Maine Veterans Home - Augusta,35 HEROES WAY,AUGUSTA,ME,04330,2076222454,050,Kennebec,N,Non profit - Corporation,108,104.0,,Medicare and Medicaid,N,MAINE VETERANS' HOME,1993-01-01,MAINE VETERANS' HOME,330,5,4.4,4.0,4.8,2.4,N,,N,N,N,Both,Yes,5,,4,,4,,4,,4,,5,,,,4.57151,0.29071,1.76215,2.05286,6.62437,5.94819,1.25177,0.09855,32.5,,20.5,,,26,1.24521,0.88197,2.04390,0.75732,0.60441,3.40562,3.01914,5.14636,0.32726,1.98373,7.45735,6.69615,2025-11-18,6,6,0,36,1,0,36,2024-10-23,4,4,0,24,1,0,24,33.000,,0,0.00,0,0,"35 HEROES WAY,AUGUSTA,ME,04330",44.3536,-69.731,22,2026-07-01,0,0,4.4,4.0,No,No,3,Northeast
205127,MAINE VETERANS HOME - SCARBOROUGH,290 US RT 1,SCARBOROUGH,ME,04074,2078837184,020,Cumberland,Y,Non profit - Corporation,120,111.9,,Medicare and Medicaid,N,MAINE VETERANS' HOME,1993-01-01,MAINE VETERANS' HOME,330,5,4.4,4.0,4.8,2.4,N,,N,N,N,Both,Yes,5,,5,,2,,3,,2,,5,,,,2.92944,0.42309,1.49030,1.91339,4.84283,4.19828,0.91879,0.11864,36.4,,36.0,,0,,1.15929,0.82111,1.90287,0.70506,0.56271,3.17064,2.81083,3.54221,0.51159,1.80204,5.85583,5.07646,2024-11-20,3,3,0,12,1,0,12,2023-08-31,6,5,1,24,1,0,24,15.000,,0,0.00,0,0,"290 US RT 1,SCARBOROUGH,ME,04074",43.585,-70.371,22,2026-07-01,0,0,4.4,4.0,No,No,3,Northeast
205151,Maine Veterans Home - Caribou,163 VAN BUREN RD SUITE 2,CARIBOU,ME,04736,2074986074,010,Aroostook,N,Non profit - Other,40,36.3,,Medicare and Medicaid,N,MAINE VETERANS' HOME,1994-07-01,MAINE VETERANS' HOME,330,5,4.4,4.0,4.8,2.4,N,,N,N,N,Resident,Yes,4,,4,,1,,1,,,2,5,,,,3.53199,0.04575,1.55285,1.59860,5.13060,4.60669,1.02987,0.04103,28.6,,9.1,,0,,1.25940,0.89202,2.06718,0.76595,0.61129,3.44442,3.05354,3.93133,0.05093,1.72842,5.71068,5.12754,2026-02-05,5,5,3,36,1,0,36,2025-01-08,9,5,5,32,1,0,32,35.000,,1,42320.00,1,2,"163 VAN BUREN RD SUITE 2,CARIBOU,ME,04736",46.8478,-68.01,22,2026-07-01,0,0,4.4,4.0,No,No,3,Northeast
205184,Maine Veterans Home - So Paris,477 HIGH ST,SOUTH PARIS,ME,04281,2077436300,080,Oxford,N,Non profit - Corporation,62,55.9,,Medicare and Medicaid,N,MAINE VETERANS' HOME,1995-07-26,MAINE VETERANS' HOME,330,5,4.4,4.0,4.8,2.4,N,,N,N,N,Resident,Yes,5,,5,,3,,4,,3,,4,,,,3.01275,0.37054,1.83557,2.20610,5.21886,4.47666,1.26272,0.04080,,26,,26,,26,1.16133,0.82256,1.90622,0.70630,0.56369,3.17621,2.81577,3.63656,0.44726,2.21563,6.29944,5.40357,2025-12-19,4,4,0,24,1,0,24,2024-10-09,6,6,0,32,1,0,32,26.000,,0,0.00,0,0,"477 HIGH ST,SOUTH PARIS,ME,04281",44.2523,-70.528,,2026-07-01,0,0,4.4,4.0,No,No,3,Northeast
205185,Maine Veterans Home - Bangor,44 HOGAN RD,BANGOR,ME,04401,2079422333,090,Penobscot,Y,Non profit - Other,120,108.8,,Medicare and Medicaid,N,MAINE VETERANS' HOME,1995-10-02,MAINE VETERANS' HOME,330,5,4.4,4.0,4.8,2.4,N,,N,N,N,Resident,Yes,3,,2,,2,,4,,1,,5,,,,3.43760,0.02515,1.66663,1.69178,5.12938,4.40074,1.17379,0.12530,45.9,,39.5,,1,,1.15854,0.82058,1.90164,0.70461,0.56234,3.16859,2.80901,4.15935,0.03043,2.01655,6.20633,5.32470,2025-08-14,9,7,2,40,1,0,40,2024-08-22,22,13,11,257,1,0,257,94.250,,2,74698.00,1,3,"44 HOGAN RD,BANGOR,ME,04401",44.8158,-68.738,,2026-07-01,0,0,4.4,4.0,No,No,3,Northeast
215161,Charlotte Hall Veterans Home,29449 CHARLOTTE HALL ROAD,CHARLOTTE HALL,MD,20622,3018848171,180,St. Marys,Y,For profit - Limited Liability company,286,210.0,,Medicare and Medicaid,N,COMPTROLLER OF MARYLAND CENTRAL PAYROLL BUREAU,1986-03-17,,,,,,,,N,,N,N,N,Resident,Yes,5,,4,,2,,4,,1,,5,,,,2.73850,0.97271,0.69660,1.66931,4.40781,3.77493,0.34239,0.00000,19.6,,32.4,,1,,1.23849,0.87721,2.03287,0.75323,0.60115,3.38724,3.00285,3.09958,1.10096,0.78845,4.98899,4.27266,2025-07-25,8,8,0,40,1,0,40,2022-08-15,16,13,3,154,1,0,154,68.500,,1,66671.00,0,1,"29449 CHARLOTTE HALL ROAD,CHARLOTTE HALL,MD,20622",38.4776,-76.778,,2026-07-01,0,0,,,No,No,3,Northeast
225110,THE MASSACHUSETTS VETERANS HOME AT CHELSEA,100 SUMMIT STREET,CHELSEA,MA,02150,6178877115,160,Suffolk,Y,Government - State,154,120.1,,Medicare,N,THE COMMONWEALTH OF MASSACHUSETTS,1967-02-09,,,,,,,,N,,N,N,N,Resident,Yes,4,,4,,3,,3,,,2,4,,,,4.35173,0.99655,1.62596,2.62251,6.97424,6.32538,1.27745,0.07167,,26,,26,3,,1.00197,0.70968,1.64464,0.60938,0.48634,2.74037,2.42938,6.08821,1.39421,2.27477,9.75719,8.84942,2025-09-19,5,3,2,20,1,0,20,2024-10-09,10,7,3,40,1,0,40,25.000,,0,0.00,0,0,"100 SUMMIT STREET,CHELSEA,MA,02150",42.4019,-71.031,,2026-07-01,0,0,,,No,No,3,Northeast
225786,MASSACHUSETTS VETERANS HOME AT HOLYOKE,110 CHERRY STREET,HOLYOKE,MA,01040,4135524737,070,Hampden,Y,Government - State,128,113.1,,Medicare and Medicaid,N,THE COMMONWEALTH OF MASSACHUSETTS,2025-04-14,,,,,,,,N,,N,N,N,Both,Yes,,1,,1,,1,,1,,1,,1,,,4.80041,0.85871,2.54666,3.40537,8.20578,7.31612,1.81787,0.08566,,27,,27,,27,1.14226,0.80905,1.87491,0.69470,0.55444,3.12405,2.76953,,,,,,2025-02-28,,,,,,,,,,,,,,,,,,0,0.00,0,0,"110 CHERRY STREET,HOLYOKE,MA,01040",42.2003,-72.639,,2026-07-01,0,0,,,No,No,3,Northeast
235724,DJ Jacobetti Home for Veterans,425 Fisher Street,Marquette,MI,49855,9062263576,510,Marquette,N,Government - State,81,59.1,,Medicare and Medicaid,N,STATE OF MICHIGAN OFFICE OF FINANCIAL MANAGEMENT,2018-09-30,,,,,,,,N,,Y,N,N,Resident,Yes,4,,2,,5,,5,,,2,5,,,,3.00532,1.00824,1.40098,2.40922,5.41454,4.45823,0.88485,0.00915,21.2,,19.4,,0,,1.02544,0.72631,1.68316,0.62366,0.49773,2.80455,2.48629,4.10832,1.37828,1.91515,7.40175,6.09446,2025-12-11,4,4,1,48,1,0,48,2024-10-16,1,1,0,16,1,0,16,40.000,,0,0.00,1,1,"425 Fisher Street,Marquette,MI,49855",46.5401,-87.402,,2026-07-01,0,0,,,No,No,3,Midwest
235728,Michigan Veterans Home of Chesterfield Township,47901 Sugarbush Road,Chesterfield Township,MI,48047,5867196791,490,Macomb,Y,Government - State,128,120.2,,Medicare and Medicaid,N,STATE OF MICHIGAN OFFICE OF FINANCIAL MANAGEMENT,2021-08-19,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,4,,4,,,2,5,,,,5.11488,1.56266,1.01107,2.57373,7.68861,6.94112,0.51441,0.04291,56.3,,30.8,,0,,1.13771,0.80583,1.86745,0.69194,0.55223,3.11161,2.75850,6.30212,1.92538,1.24575,9.47325,8.55225,2025-05-21,1,0,1,4,0,0,4,2024-04-18,0,0,0,0,0,0,0,3.000,,0,0.00,0,0,"47901 Sugarbush Road,Chesterfield Township,MI,48047",42.6518,-82.817,,2026-07-01,0,0,,,No,No,3,Midwest
235729,Michigan Veteran Homes at Grand Rapids,2950 Monroe NE,Grand Rapids,MI,49505,6163456107,400,Kent,Y,Government - State,128,122.7,,Medicare and Medicaid,N,STATE OF MICHIGAN OFFICE OF FINANCIAL MANAGEMENT,2021-11-26,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,4,,4,,,2,5,,,,4.60314,1.57035,1.04036,2.61070,7.21384,6.32724,0.59005,0.03624,44.9,,24.1,,0,,1.09647,0.77661,1.79975,0.66685,0.53221,2.99881,2.65850,5.88493,2.00763,1.33005,9.22261,8.08912,2025-04-30,2,2,0,8,1,0,8,2024-04-04,2,1,1,8,0,0,8,8.000,,0,0.00,0,0,"2950 Monroe NE,Grand Rapids,MI,49505",43.0159,-85.663,,2026-07-01,0,0,,,No,No,3,Midwest
245620,MN Veterans Home Minneapolis,5101 MINNEHAHA AVENUE SOUTH,MINNEAPOLIS,MN,55417,6515392400,260,Hennepin,Y,Government - State,341,293.5,,Medicare and Medicaid,N,STATE OF MINNESOTA - MINNESOTA MANAGEMENT AND BUDGET,2014-01-06,,,,,,,,N,,N,N,N,Both,Yes,3,,3,,4,,4,,,2,4,,,,3.99765,0.74743,1.46821,2.21564,6.21329,5.54836,0.97654,0.05747,,26,,26,,26,1.14785,0.81301,1.88410,0.69811,0.55715,3.13936,2.78309,4.88203,0.91278,1.79302,7.58783,6.77579,2025-04-10,9,7,2,48,1,0,48,2024-03-21,8,7,1,48,1,0,48,48.000,,0,0.00,0,0,"5101 MINNEHAHA AVENUE SOUTH,MINNEAPOLIS,MN,55417",44.9138,-93.206,,2026-07-01,0,0,,,No,No,3,Midwest
245628,MINNESOTA VETERANS HOME - SILVER BAY,56 OUTER DRIVE,SILVER BAY,MN,55614,2183538700,370,Lake,N,Government - Federal,54,51.3,,Medicare and Medicaid,N,STATE OF MINNESOTA - MINNESOTA MANAGEMENT AND BUDGET,2015-10-20,,,,,,,,N,,N,N,N,Resident,Yes,4,,4,,4,,4,,,2,4,,,,2.68650,0.64857,1.63259,2.28116,4.96765,4.14294,1.02780,0.09661,,26,,26,1,,1.11885,0.79247,1.83649,0.68047,0.54307,3.06003,2.71277,3.36587,0.81258,2.04544,6.22389,5.19062,2026-04-16,5,5,1,20,0,0,20,2025-03-20,1,0,1,20,0,0,20,20.000,,0,0.00,0,0,"56 OUTER DRIVE,SILVER BAY,MN,55614",47.2947,-91.258,,2026-07-01,0,0,,,No,No,3,Midwest
245631,MN VETERANS HOME - LUVERNE,1300 NORTH KNISS AVENUE,LUVERNE,MN,56156,5072836200,660,Rock,Y,Government - State,85,60.1,,Medicare and Medicaid,N,STATE OF MINNESOTA - MINNESOTA MANAGEMENT AND BUDGET,2016-08-31,,,,,,,,N,,N,N,N,Both,Yes,5,,4,,3,,3,,,2,5,,,,3.09757,0.56993,1.57340,2.14333,5.24089,4.72297,1.19322,0.08172,20.9,,25.0,,0,,1.18592,0.83998,1.94659,0.72126,0.57563,3.24348,2.87540,3.66139,0.67367,1.85979,6.19485,5.58265,2026-03-10,1,0,1,20,0,0,20,2024-12-04,5,1,4,32,1,0,32,23.000,,0,0.00,0,0,"1300 NORTH KNISS AVENUE,LUVERNE,MN,56156",43.6682,-96.213,,2026-07-01,0,0,,,No,No,3,Midwest
245636,MN VETERANS HOME FERGUS FALLS,1821 NORTH PARK,FERGUS FALLS,MN,56537,2187360400,550,Otter Tail,N,Government - State,85,75.7,,Medicare and Medicaid,N,STATE OF MINNESOTA - MINNESOTA MANAGEMENT AND BUDGET,2018-07-06,,,,,,,,N,,Y,N,N,Both,Yes,4,,2,,5,,5,,,2,5,,,,2.78417,0.53281,1.84891,2.38172,5.16588,4.65107,1.34321,0.05006,27.2,,12.1,,,26,1.00869,0.71444,1.65567,0.61347,0.48960,2.75875,2.44568,3.86919,0.74045,2.56944,7.17908,6.46364,2026-05-06,3,0,3,48,0,0,48,2025-02-05,2,2,0,8,1,0,8,38.000,,1,23520.00,1,2,"1821 NORTH PARK,FERGUS FALLS,MN,56537",46.3017,-96.076,,2026-07-01,0,0,,,No,No,3,Midwest
275100,MONTANA VETERANS HOME N H,400 VETERANS DR,COLUMBIA FALLS,MT,59912,4068923256,140,Flathead,N,Government - State,105,75.0,,Medicare and Medicaid,N,STATE OF MONTANA,1982-01-07,,,,,,,,N,,Y,N,N,Resident,Yes,3,,2,,3,,3,,,2,5,,,,3.97073,0.46035,1.24909,1.70944,5.68017,5.23440,0.99716,0.06575,42.9,,40.6,,1,,1.00720,0.71339,1.65323,0.61256,0.48888,2.75467,2.44206,5.52633,0.64070,1.73845,7.90548,7.28507,2024-07-18,4,1,3,141,1,0,141,2023-06-22,5,5,0,36,1,0,36,114.750,,1,93899.00,1,2,"400 VETERANS DR,COLUMBIA FALLS,MT,59912",48.3653,-114.19,22,2026-07-01,0,0,,,No,No,3,Mountain West
275144,EASTERN MONTANA VETERANS HOME,2000 MONTANA AVE,GLENDIVE,MT,59330,4063778115,100,Dawson,N,Government - State,80,50.0,,Medicare and Medicaid,N,"GLENDIVE NURSING AND REHAB CENTER, LLC",1995-08-01,EDURO HEALTHCARE,193,35,2.4,2.4,2.1,3.1,N,,N,N,N,Resident,Yes,3,,3,,2,,2,,,2,4,,,,2.81902,0.57856,0.89578,1.47434,4.29336,3.67387,0.56496,0.07590,79.7,,80.0,,2,,0.98600,0.69838,1.61843,0.59967,0.47859,2.69670,2.39067,4.00777,0.82253,1.27352,6.10381,5.22309,2025-02-13,11,9,2,92,1,0,92,2024-01-31,10,0,10,96,0,0,96,93.000,,3,50805.00,0,3,"2000 MONTANA AVE,GLENDIVE,MT,59330",47.1272,-104.69,,2026-07-01,0,0,2.4,2.4,No,No,3,Mountain West
275156,SOUTHWEST MONTANA VETERANS HOME,65 VETERANS CIRCLE,BUTTE,MT,59701,4067923100,460,Silver Bow,N,For profit - Limited Liability company,60,57.3,,Medicare and Medicaid,N,BUTTE NURSING AND REHAB CENTER LLC,2021-08-06,EDURO HEALTHCARE,193,35,2.4,2.4,2.1,3.1,N,,N,N,N,Both,Partial,5,,4,,4,,4,,,2,5,,,,2.13682,0.71295,1.49493,2.20788,4.34470,3.81493,0.92918,0.04017,53.9,,50.0,,0,,1.07188,0.75920,1.75939,0.65190,0.52028,2.93157,2.59889,2.79450,0.93238,1.95505,5.68193,4.98910,2025-06-19,9,9,0,48,1,0,48,2024-06-06,3,3,1,12,1,0,12,39.000,,0,0.00,0,0,"65 VETERANS CIRCLE,BUTTE,MT,59701",45.9467,-112.52,22,2026-07-01,0,0,2.4,2.4,No,No,3,Mountain West
295081,NEVADA STATE VETERANS HOME - BOULDER CITY,100 VETERANS MEMORIAL DR,BOULDER CITY,NV,89005,7023326711,010,Clark,Y,Government - State,180,167.7,,Medicare and Medicaid,N,STATE OF NEVADA,2002-09-24,,,,,,,,N,,N,N,N,Both,Yes,5,,4,,5,,5,,,2,3,,,,2.34864,0.80687,0.83607,1.64295,3.99159,3.61098,0.62917,0.02603,,26,,26,,26,1.13062,0.80081,1.85581,0.68763,0.54879,3.09223,2.74131,2.91194,1.00039,1.03660,4.94893,4.47703,2026-02-13,3,3,0,12,1,0,12,2024-12-06,12,9,4,64,1,0,64,25.000,,1,10358.00,0,1,"100 VETERANS MEMORIAL DR,BOULDER CITY,NV,89005",35.9702,-114.87,,2026-07-01,0,0,,,No,No,3,Mountain West
